id,id_index,kode_provinsi,nama_provinsi,periode_update,cara_keluar,kategori,jumlah,satuan,tahun
46,138,35,JAWA TIMUR,2018-08,PULANG,TOTAL,643,PASIEN,2018
47,139,35,JAWA TIMUR,2018-08,PULANG PAKSA,NON RUJUKAN,0,PASIEN,2018
47,140,35,JAWA TIMUR,2018-08,PULANG PAKSA,RUJUKAN,0,PASIEN,2018
47,141,35,JAWA TIMUR,2018-08,PULANG PAKSA,TOTAL,0,PASIEN,2018
48,142,35,JAWA TIMUR,2018-08,DIRAWAT,NON RUJUKAN,802,PASIEN,2018
48,143,35,JAWA TIMUR,2018-08,DIRAWAT,RUJUKAN,822,PASIEN,2018
48,144,35,JAWA TIMUR,2018-08,DIRAWAT,TOTAL,1624,PASIEN,2018
49,145,35,JAWA TIMUR,2018-09,MENINGGAL,NON RUJUKAN,25,PASIEN,2018
49,146,35,JAWA TIMUR,2018-09,MENINGGAL,RUJUKAN,22,PASIEN,2018
49,147,35,JAWA TIMUR,2018-09,MENINGGAL,TOTAL,47,PASIEN,2018
50,148,35,JAWA TIMUR,2018-09,DIRUJUK,NON RUJUKAN,0,PASIEN,2018
50,149,35,JAWA TIMUR,2018-09,DIRUJUK,RUJUKAN,0,PASIEN,2018
50,150,35,JAWA TIMUR,2018-09,DIRUJUK,TOTAL,0,PASIEN,2018
51,151,35,JAWA TIMUR,2018-09,PULANG PAKSA,NON RUJUKAN,40,PASIEN,2018
51,152,35,JAWA TIMUR,2018-09,PULANG PAKSA,RUJUKAN,23,PASIEN,2018
51,153,35,JAWA TIMUR,2018-09,PULANG PAKSA,TOTAL,63,PASIEN,2018
52,154,35,JAWA TIMUR,2018-09,PULANG,NON RUJUKAN,553,PASIEN,2018
52,155,35,JAWA TIMUR,2018-09,PULANG,RUJUKAN,86,PASIEN,2018
52,156,35,JAWA TIMUR,2018-09,PULANG,TOTAL,639,PASIEN,2018
53,157,35,JAWA TIMUR,2018-09,PULANG PAKSA,NON RUJUKAN,0,PASIEN,2018
53,158,35,JAWA TIMUR,2018-09,PULANG PAKSA,RUJUKAN,0,PASIEN,2018
53,159,35,JAWA TIMUR,2018-09,PULANG PAKSA,TOTAL,0,PASIEN,2018
54,160,35,JAWA TIMUR,2018-09,DIRAWAT,NON RUJUKAN,685,PASIEN,2018
54,161,35,JAWA TIMUR,2018-09,DIRAWAT,RUJUKAN,882,PASIEN,2018
54,162,35,JAWA TIMUR,2018-09,DIRAWAT,TOTAL,1567,PASIEN,2018
55,163,35,JAWA TIMUR,2018-10,MENINGGAL,NON RUJUKAN,28,PASIEN,2018
55,164,35,JAWA TIMUR,2018-10,MENINGGAL,RUJUKAN,44,PASIEN,2018
55,165,35,JAWA TIMUR,2018-10,MENINGGAL,TOTAL,72,PASIEN,2018
56,166,35,JAWA TIMUR,2018-10,DIRUJUK,NON RUJUKAN,0,PASIEN,2018
56,167,35,JAWA TIMUR,2018-10,DIRUJUK,RUJUKAN,0,PASIEN,2018
56,168,35,JAWA TIMUR,2018-10,DIRUJUK,TOTAL,0,PASIEN,2018
57,169,35,JAWA TIMUR,2018-10,PULANG PAKSA,NON RUJUKAN,44,PASIEN,2018
57,170,35,JAWA TIMUR,2018-10,PULANG PAKSA,RUJUKAN,12,PASIEN,2018
57,171,35,JAWA TIMUR,2018-10,PULANG PAKSA,TOTAL,56,PASIEN,2018
58,172,35,JAWA TIMUR,2018-10,PULANG,NON RUJUKAN,613,PASIEN,2018
58,173,35,JAWA TIMUR,2018-10,PULANG,RUJUKAN,97,PASIEN,2018
58,174,35,JAWA TIMUR,2018-10,PULANG,TOTAL,710,PASIEN,2018
59,175,35,JAWA TIMUR,2018-10,PULANG PAKSA,NON RUJUKAN,0,PASIEN,2018
59,176,35,JAWA TIMUR,2018-10,PULANG PAKSA,RUJUKAN,0,PASIEN,2018
59,177,35,JAWA TIMUR,2018-10,PULANG PAKSA,TOTAL,0,PASIEN,2018
60,178,35,JAWA TIMUR,2018-10,DIRAWAT,NON RUJUKAN,687,PASIEN,2018
60,179,35,JAWA TIMUR,2018-10,DIRAWAT,RUJUKAN,868,PASIEN,2018
60,180,35,JAWA TIMUR,2018-10,DIRAWAT,TOTAL,1555,PASIEN,2018
61,181,35,JAWA TIMUR,2018-11,MENINGGAL,NON RUJUKAN,9,PASIEN,2018
61,182,35,JAWA TIMUR,2018-11,MENINGGAL,RUJUKAN,41,PASIEN,2018
61,183,35,JAWA TIMUR,2018-11,MENINGGAL,TOTAL,50,PASIEN,2018
62,184,35,JAWA TIMUR,2018-11,DIRUJUK,NON RUJUKAN,0,PASIEN,2018
62,185,35,JAWA TIMUR,2018-11,DIRUJUK,RUJUKAN,0,PASIEN,2018
62,186,35,JAWA TIMUR,2018-11,DIRUJUK,TOTAL,0,PASIEN,2018
63,187,35,JAWA TIMUR,2018-11,PULANG PAKSA,NON RUJUKAN,47,PASIEN,2018
63,188,35,JAWA TIMUR,2018-11,PULANG PAKSA,RUJUKAN,20,PASIEN,2018
63,189,35,JAWA TIMUR,2018-11,PULANG PAKSA,TOTAL,67,PASIEN,2018
64,190,35,JAWA TIMUR,2018-11,PULANG,NON RUJUKAN,535,PASIEN,2018
64,191,35,JAWA TIMUR,2018-11,PULANG,RUJUKAN,71,PASIEN,2018
64,192,35,JAWA TIMUR,2018-11,PULANG,TOTAL,606,PASIEN,2018
65,193,35,JAWA TIMUR,2018-11,PULANG PAKSA,NON RUJUKAN,0,PASIEN,2018
65,194,35,JAWA TIMUR,2018-11,PULANG PAKSA,RUJUKAN,0,PASIEN,2018
65,195,35,JAWA TIMUR,2018-11,PULANG PAKSA,TOTAL,0,PASIEN,2018
66,196,35,JAWA TIMUR,2018-11,DIRAWAT,NON RUJUKAN,708,PASIEN,2018
66,197,35,JAWA TIMUR,2018-11,DIRAWAT,RUJUKAN,908,PASIEN,2018
66,198,35,JAWA TIMUR,2018-11,DIRAWAT,TOTAL,1616,PASIEN,2018
67,199,35,JAWA TIMUR,2018-12,MENINGGAL,NON RUJUKAN,23,PASIEN,2018
67,200,35,JAWA TIMUR,2018-12,MENINGGAL,RUJUKAN,32,PASIEN,2018
67,201,35,JAWA TIMUR,2018-12,MENINGGAL,TOTAL,55,PASIEN,2018
68,202,35,JAWA TIMUR,2018-12,DIRUJUK,NON RUJUKAN,0,PASIEN,2018
68,203,35,JAWA TIMUR,2018-12,DIRUJUK,RUJUKAN,0,PASIEN,2018
68,204,35,JAWA TIMUR,2018-12,DIRUJUK,TOTAL,0,PASIEN,2018
69,205,35,JAWA TIMUR,2018-12,PULANG PAKSA,NON RUJUKAN,59,PASIEN,2018
69,206,35,JAWA TIMUR,2018-12,PULANG PAKSA,RUJUKAN,9,PASIEN,2018
69,207,35,JAWA TIMUR,2018-12,PULANG PAKSA,TOTAL,68,PASIEN,2018
70,208,35,JAWA TIMUR,2018-12,PULANG,NON RUJUKAN,663,PASIEN,2018
70,209,35,JAWA TIMUR,2018-12,PULANG,RUJUKAN,85,PASIEN,2018
70,210,35,JAWA TIMUR,2018-12,PULANG,TOTAL,748,PASIEN,2018
71,211,35,JAWA TIMUR,2018-12,PULANG PAKSA,NON RUJUKAN,0,PASIEN,2018
71,212,35,JAWA TIMUR,2018-12,PULANG PAKSA,RUJUKAN,0,PASIEN,2018
71,213,35,JAWA TIMUR,2018-12,PULANG PAKSA,TOTAL,0,PASIEN,2018
72,214,35,JAWA TIMUR,2018-12,DIRAWAT,NON RUJUKAN,825,PASIEN,2018
72,215,35,JAWA TIMUR,2018-12,DIRAWAT,RUJUKAN,956,PASIEN,2018
72,216,35,JAWA TIMUR,2018-12,DIRAWAT,TOTAL,1781,PASIEN,2018
73,217,35,JAWA TIMUR,2019-02,MENINGGAL,NON RUJUKAN,13,PASIEN,2019
73,218,35,JAWA TIMUR,2019-02,MENINGGAL,RUJUKAN,41,PASIEN,2019
73,219,35,JAWA TIMUR,2019-02,MENINGGAL,TOTAL,54,PASIEN,2019
74,220,35,JAWA TIMUR,2019-02,DIRUJUK,NON RUJUKAN,1,PASIEN,2019
74,221,35,JAWA TIMUR,2019-02,DIRUJUK,RUJUKAN,3,PASIEN,2019
74,222,35,JAWA TIMUR,2019-02,DIRUJUK,TOTAL,4,PASIEN,2019
75,223,35,JAWA TIMUR,2019-02,PULANG PAKSA,NON RUJUKAN,59,PASIEN,2019
75,224,35,JAWA TIMUR,2019-02,PULANG PAKSA,RUJUKAN,14,PASIEN,2019
75,225,35,JAWA TIMUR,2019-02,PULANG PAKSA,TOTAL,73,PASIEN,2019
76,226,35,JAWA TIMUR,2019-02,PULANG,NON RUJUKAN,543,PASIEN,2019
76,227,35,JAWA TIMUR,2019-02,PULANG,RUJUKAN,81,PASIEN,2019
76,228,35,JAWA TIMUR,2019-02,PULANG,TOTAL,624,PASIEN,2019
77,229,35,JAWA TIMUR,2019-02,PULANG PAKSA,NON RUJUKAN,0,PASIEN,2019
77,230,35,JAWA TIMUR,2019-02,PULANG PAKSA,RUJUKAN,0,PASIEN,2019
77,231,35,JAWA TIMUR,2019-02,PULANG PAKSA,TOTAL,0,PASIEN,2019
78,232,35,JAWA TIMUR,2019-02,DIRAWAT,NON RUJUKAN,633,PASIEN,2019
78,233,35,JAWA TIMUR,2019-02,DIRAWAT,RUJUKAN,903,PASIEN,2019
78,234,35,JAWA TIMUR,2019-02,DIRAWAT,TOTAL,1536,PASIEN,2019
79,235,35,JAWA TIMUR,2019-03,MENINGGAL,NON RUJUKAN,18,PASIEN,2019
79,236,35,JAWA TIMUR,2019-03,MENINGGAL,RUJUKAN,24,PASIEN,2019
